Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,78.824089,78.919693,77.256210,78.451241,44.594059,12253995
2006-01-04,78.585083,78.871895,77.753349,78.346077,44.534283,10285109
2006-01-05,77.820267,79.254303,77.676865,78.871895,44.833183,7545216
2006-01-06,80.258125,81.290634,79.741875,81.214149,46.164585,8573957
2006-01-09,80.210327,80.544930,79.713196,80.047798,45.501610,7166251
2006-01-10,79.493309,80.420647,79.464630,80.372849,45.686394,5962200
2006-01-11,80.659653,81.080307,79.732315,80.468452,45.740719,6042114
2006-01-12,80.133842,80.267685,79.732315,79.894836,45.414646,5150609
2006-01-13,79.349907,79.780113,78.871895,79.512428,45.197292,7239994
2006-01-17,79.158699,79.502869,78.910133,79.349907,45.104908,9119446
2006-01-18,80.305923,80.975143,79.847038,80.114723,45.539642,11490101
2006-01-19,80.439774,80.678780,79.369026,79.435944,45.153809,6781741
2006-01-20,79.388145,79.397705,77.676865,77.782028,44.213676,9001667
2006-01-23,77.753349,78.317398,77.361374,77.829826,44.240852,6395349
2006-01-24,77.810707,78.537285,77.246651,77.294456,43.936523,6348174
2006-01-25,77.485657,78.030594,77.065010,77.351814,43.969120,6667518
2006-01-26,77.915871,78.059273,77.045891,77.170174,43.865875,8169469
2006-01-27,77.198853,78.173996,77.198853,77.456978,44.028923,6384156
2006-01-30,76.682602,78.212234,76.682602,78.040154,44.360416,5570055
2006-01-31,77.915871,78.393883,77.600380,77.724663,44.181057,7083094
2006-02-01,77.342255,78.623329,77.103249,78.336517,44.528870,5668588
2006-02-02,77.868073,78.001915,77.342255,77.657745,44.143005,6483108
2006-02-03,77.007645,77.217972,76.214149,76.453156,43.458294,10305192
2006-02-06,76.424477,76.434036,75.458893,76.013382,43.208328,10008651
2006-02-07,76.003822,76.663483,75.812622,76.338432,43.393089,5488676
2006-02-08,77.036331,77.342255,76.711281,77.246651,44.019604,5260543
2006-02-09,76.864243,77.246651,76.003822,76.864243,43.801674,7959223
2006-02-10,76.864243,77.877632,76.673042,77.753349,44.308357,5619007
2006-02-13,77.753349,78.307838,76.653923,76.902489,43.823467,5499240
2006-02-14,77.007645,77.868073,76.816444,77.523903,44.177597,6354973
2006-02-15,77.304016,77.915871,76.959846,77.294456,44.046848,5284392
2006-02-16,77.131927,77.351814,76.606117,77.351814,44.079525,5554783
2006-02-17,77.351814,77.466537,76.606117,77.160614,43.970570,5542545
2006-02-21,76.577438,77.198853,76.453156,76.959846,43.856174,6106548
2006-02-22,76.481834,78.059273,76.453156,77.772469,44.319256,5537838
2006-02-23,77.629066,77.762909,76.520073,76.673042,43.692741,5208452
2006-02-24,77.103249,77.103249,76.338432,76.577438,43.638237,4082747
2006-02-27,76.453156,77.332695,76.434036,77.084129,43.927002,3961202
2006-02-28,76.577438,77.007645,76.204590,76.711281,43.714527,6234892
2006-03-01,76.673042,77.256210,76.271507,76.386230,43.529282,5410226
2006-03-02,76.051628,76.682602,76.042068,76.424477,43.551094,4622065
2006-03-03,76.013382,77.275337,76.013382,76.443596,43.561985,4554702
2006-03-06,76.395790,77.093689,76.386230,76.481834,43.583767,4926137
2006-03-07,76.491394,77.237091,76.347992,76.759079,43.741745,4530017
2006-03-08,76.720840,78.011475,76.720840,77.571701,44.204838,5826115
2006-03-09,77.686424,78.374763,77.246651,77.456978,44.139469,4508992
2006-03-10,77.466537,78.632889,77.466537,77.982796,44.439095,5007411
2006-03-13,77.973228,78.776291,77.868073,78.326958,44.635216,4781684
2006-03-14,77.925430,79.340347,77.887192,79.235184,45.152790,4725828
2006-03-15,79.015297,80.076485,79.005737,79.713196,45.425194,5617438
2006-03-16,79.760994,80.038239,78.977058,79.225624,45.147358,4497277
2006-03-17,79.684509,79.741875,79.177818,79.636711,45.381607,6709462
2006-03-20,79.455070,80.066925,79.340347,79.904396,45.534138,4048334
2006-03-21,80.133842,81.252388,79.904396,80.124283,45.659443,7744898
2006-03-22,79.684509,80.956024,79.684509,80.736137,46.008121,5197156
2006-03-23,80.525810,80.564056,79.282982,79.541107,45.327118,5340667
2006-03-24,79.340347,80.038239,79.340347,79.694077,45.414276,4391945
2006-03-27,79.330788,79.598473,78.948372,79.426384,45.261749,4089965
2006-03-28,79.216064,79.722755,78.671127,78.804970,44.907600,4715996
2006-03-29,78.585083,79.875717,78.585083,79.474190,45.288986,4594137
2006-03-30,79.235184,80.019119,79.187378,79.541107,45.327118,4672482
2006-03-31,79.302101,79.923515,78.671127,78.843208,44.929417,6131652
2006-04-03,79.082214,79.913956,79.015297,79.407265,45.250843,4311194
2006-04-04,79.397705,80.095604,79.158699,79.780113,45.463306,4030238
2006-04-05,79.665390,80.736137,79.655830,80.468452,45.855576,5777999
2006-04-06,80.019119,80.611855,79.694077,80.124283,45.659443,5171529
2006-04-07,79.923515,80.114723,78.814529,78.852776,44.934860,5583025
2006-04-10,78.652008,79.101341,78.393883,78.489487,44.727840,3794574
2006-04-11,78.231361,78.451241,77.198853,77.590820,44.215744,6233846
2006-04-12,77.533463,77.791588,77.084129,77.198853,43.992363,4084839
2006-04-13,77.609940,78.967499,77.552582,78.374763,44.662457,5020486
